"k","pow","base","sigdf","sigquant","ntree","absErr","sqrErr","ape","mraeLM","absErr.rank","sqrErr.rank","ape.rank","mraeLM.rank","avg.rank"
"2","0.5","0.95","10","0.75","100",0.230473235854048,0.216111171662223,0.442107931232626,1.72028683775524,1,6,1,1,2.25
"2","0.5","0.99","10","0.75","100",0.230903746194333,0.214034900034945,0.444094367005123,1.72439578149926,2,5,2,2,2.75
"2","1","0.95","10","0.75","100",0.23653103961613,0.223782976195535,0.456240411225914,1.79760133344776,3,8,3,3,4.25
"2","1","0.95","10","0.75","200",0.238125096660108,0.20250777891566,0.460638538948893,1.87752279945563,5,2,4,8,4.75
"2","0.5","0.95","10","0.75","200",0.238095357235239,0.20248477434379,0.461554534824954,1.90002070296408,4,1,5,10,5
"2","1","0.99","10","0.75","200",0.239215452368402,0.202974656588702,0.462939131581894,1.89325875638651,6,3,6,9,6
"2","0.5","0.99","10","0.75","200",0.240443888761243,0.20359452654799,0.466839438271418,1.92266792703033,7,4,7,12,7.5
"2","1","0.99","10","0.75","100",0.241055598097822,0.225699280374809,0.467708620529551,1.86405206602251,8,9,8,7,8
"1","0.5","0.95","10","0.75","200",0.242818565960609,0.233940476349342,0.472025625804352,1.84320707155851,10,16,9,6,10.25
"1","0.5","0.95","10","0.75","100",0.242401490006401,0.251526418527084,0.473263638738363,1.82416743185759,9,21,10,5,11.25
"1","0.5","0.99","10","0.75","100",0.243999687563635,0.258042221226086,0.474294105225812,1.80881353231158,11,23,11,4,12.25
"1","0.5","0.99","10","0.75","200",0.244217500801444,0.231132058844834,0.475176719992347,1.90958841112926,12,14,12,11,12.25
"2","0.5","0.99","3","0.9","100",0.25036492680176,0.229131742244329,0.491296778909281,2.01094256192526,14,12,14,17,14.25
"2","0.5","0.99","3","0.9","200",0.251368315819203,0.222282313281889,0.49338272478763,2.03086053203723,16,7,17,18,14.5
"1","1","0.95","10","0.75","200",0.249712109607648,0.247309655715365,0.488724294317305,1.94750704228544,13,20,13,13,14.75
"2","0.5","0.95","3","0.9","100",0.25122986862668,0.231829518458914,0.492181771110508,1.98502044692906,15,15,15,16,15.25
"1","1","0.99","10","0.75","200",0.25140683878507,0.245375496755938,0.492516518490323,1.98492076689527,17,19,16,15,16.75
"2","0.5","0.95","3","0.9","200",0.254374163800652,0.226905960453994,0.500037462515912,2.07093290043672,19,10,19,20,17
"2","1","0.95","3","0.9","200",0.259531302824522,0.227760239291522,0.512061665560611,2.13250301674683,21,11,21,21,18.5
"1","1","0.95","10","0.75","100",0.253984758271166,0.265270645657876,0.499554612303705,1.9766578744702,18,25,18,14,18.75
"2","1","0.99","3","0.9","200",0.261230336733538,0.230078098781037,0.51702966693505,2.16350164673094,22,13,22,22,19.75
"1","1","0.99","10","0.75","100",0.25784852115402,0.271017912019486,0.507430455004623,2.03364968888107,20,26,20,19,21.25
"2","1","0.99","3","0.9","100",0.262885657828833,0.242861059140359,0.520898542158735,2.17465554959879,23,18,23,23,21.75
"2","1","0.95","3","0.9","100",0.264465899319365,0.241784380042869,0.526203175223726,2.1917340976564,24,17,24,24,22.25
"1","0.5","0.99","3","0.9","200",0.27153485151195,0.260660785211833,0.540987768588869,2.24411592509906,25,24,25,25,24.75
"1","0.5","0.95","3","0.9","200",0.273109116820854,0.257382649039768,0.546192668755619,2.29890115412437,26,22,26,26,25
"1","0.5","0.95","3","0.9","100",0.279435904625742,0.278174525380672,0.560624935255095,2.3048510638403,27,29,27,27,27.5
"1","0.5","0.99","3","0.9","100",0.282247098390055,0.282607735946238,0.566309186601397,2.35453057698814,28,30,28,28,28.5
"1","1","0.99","3","0.9","200",0.286327801376093,0.272457506324139,0.576651526993606,2.44968255732272,30,27,29,29,28.75
"1","1","0.95","3","0.9","200",0.285898515203033,0.27333303236286,0.576871345079792,2.46416252781742,29,28,30,30,29.25
"1","1","0.99","3","0.9","100",0.295629888668902,0.296388806113204,0.5985553008086,2.53664387048552,31,31,31,31,31
"1","1","0.95","3","0.9","100",0.299309409201856,0.302177016978439,0.608626378587339,2.60848814900039,32,32,32,32,32
