Country,Year of election,Type of election,Legal framework,Electoral authority independence,Contestation,Voter registration,Polling arrangements,Voting,"Counting, tabulation & reporting",Dispute adjudication,Observer access,Media coverage,Misuse of state resources,Vote-buying,Voter intimidation/obstruction,Candidate intimidation/obstruction,Overall assessment of the election
Albania,1996,parliamentary,9,3,4,4,4,4,5,9,4,4,9,1,3,4,4
Albania,1997,parliamentary,9,2,1,4,3,2,4,9,1,3,9,1,2,9,3
Albania,2001,parliamentary,3,3,2,2,2,3,3,3,1,2,2,1,3,2,3
Albania,2005,parliamentary,3,2,2,4,3,3,4,3,2,3,4,3,3,3,3
Armenia,1998,presidential,3,3,1,3,4,4,4,4,4,4,4,3,3,3,4
Armenia,1999,parliamentary,3,3,2,3,2,3,3,2,1,2,2,1,2,2,3
Armenia,2003,parliamentary,3,4,3,3,2,4,4,4,2,2,2,3,2,3,3
Armenia,2003,presidential,2,3,1,3,2,5,3,4,1,4,4,2,3,4,4
Azerbaijan,1995,parliamentary,2,9,4,9,9,4,4,9,3,3,4,1,3,4,4
Azerbaijan,1998,presidential,3,3,3,4,9,3,4,2,3,4,2,1,2,2,3
Azerbaijan,2000,parliamentary,2,4,4,3,9,4,5,4,4,3,3,1,3,3,4
Azerbaijan,2003,presidential,3,4,3,4,2,3,5,4,3,4,9,1,4,5,4
Azerbaijan,2005,parliamentary,3,4,3,3,3,3,5,5,2,5,4,3,3,3,4
Belarus,2000,parliamentary,4,5,4,9,9,9,9,3,3,4,3,9,4,4,5
Belarus,2001,presidential,4,4,2,3,3,3,2,3,4,4,3,1,4,4,5
Belarus,2004,parliamentary,5,5,4,4,9,3,5,9,4,5,9,1,4,4,4
Belarus,2006,presidential,4,4,2,4,3,2,4,4,3,5,3,1,4,5,4
Bolivia,2002,combined presidential and parliamentary,2,1,2,3,1,1,1,2,1,2,2,1,1,2,2
Bolivia,2006,constituent assembly,3,1,1,3,2,2,1,1,1,1,1,1,1,1,2
Bosnia and Herzegovina,1996,combined presidential and parliamentary,9,9,9,4,3,2,3,2,9,3,9,9,3,9,3
Bosnia and Herzegovina,1998,combined presidential and parliamentary,3,2,2,4,3,2,3,3,2,3,9,1,2,3,3
Bosnia and Herzegovina,2002,combined presidential and parliamentary,2,1,2,2,9,2,3,2,2,2,9,1,2,2,2
