country,year,n.Districts,Uniform.LastDigit,DistanceAllPairs,DistanceLastPair,Mean.FirstDigit,Mean.SecondDigit,Benford.SecondDigit,lagged.polity,fraud.democracy,inequality,fract,urban,turnout,avgmag,demtenure,gdpchange,commission,instability,lagged.fraudscore
niger,1999,111,0.044558072,3.369369369,2.936936937,3.486486486,3.81981982,0.04710619,NA,0,50.6,0.637,16.1,99.41,5.19,NA,10.42,2,1,NA
statesunited,1994,1278,0.006989599,3.168261563,3.015151515,4.160406886,3.933014354,0.014684813,10,1,NA,0.491,76.82,57.64,1,185,2.74,0,0,-0.406266686
philippines,2001,569,0.002189887,3.151675485,2.981481481,3.841827768,4.026455026,0.012039737,8,1,47.5,0.161,48,81.08,1,13,4.41,2,0,0.491336559
statesunited,2004,1296,0.004074741,3.357420357,3.110722611,3.189814815,4.087024087,0.011683345,10,1,NA,0.491,80.16,68.75,1,195,2.81,0,0,-0.406266686
hungary,1994,259,0.04068216,3.351351351,3.092664093,3.088803089,3.926640927,0.040382986,-7,1,28.3,0.186,65.33,55.12,6.25,4,-0.58,1,0,-0.406266686
brazil,1947,19,0.246537396,2.684210526,2.473684211,3.315789474,3.578947368,1.027918915,NA,1,NA,0.549,35,42.47,NA,1,NA,2,1,NA
denmark,1990,153,0.027382631,3.437908497,3.016339869,3.509803922,3.941176471,0.043713963,10,1,25.91,0.128,84.84,82.85,7.94,75,0.57,0,0,-0.406266686
israel,1988,15,0.644444444,2.866666667,3.2,4.733333333,4.4,0.586122617,9,1,30.64,0.526,90.15,79.66,120,40,7.19,2,0,-0.406266686
newzealand,1996,626,0.004246241,3.2416,3.1672,3.445686901,4.2416,0.017929196,10,1,33.1,0.363,85.4,88.28,1.82,119,4.41,2,0,-0.406266686
turkey,1991,467,0.019629601,3.070663812,3.158458244,3.582441113,4.263383298,0.012613737,-5,1,43.77,0.299,59.79,83.92,4.21,8,9.27,2,0,0.491336559
argentina,1997,147,0.062983016,3.278911565,3.149659864,3.653061224,3.986394558,0.069966789,7,1,48.3,0.255,89.24,NA,5.29,14,5.53,1,0,-0.406266686
bolivia,2005,632,0.02031926,3.311290323,3.150806452,3.568037975,3.977419355,0.015017264,9,1,NA,0.743,64.19,84.51,1.69,23,4.17,2,1,-0.406266686
