country,year,n.Districts,Uniform.LastDigit,DistanceAllPairs,DistanceLastPair,Mean.FirstDigit,Mean.SecondDigit,Benford.SecondDigit,lagged.polity,fraud.democracy,inequality,fract,urban,turnout,avgmag,demtenure,gdpchange,commission,instability,lagged.fraudscore
africasouth,1999,160,0.03828125,3.5875,3.521875,3.58125,4.14375,0.082257458,4,0,60.1,0.88,56.41,89.28,40,5,0.5,2,0,0.491336559
albania,2001,1135,0.011740961,3.251572327,3.144204852,3.688105727,4.326145553,0.013014513,NA,1,29.14,0.097,42.75,54.95,1.39,0,7.3,2,1,NA
andtobagotrinidad,1971,58,0.307966706,3.310344828,2.982758621,3.568965517,4.017241379,0.193945608,8,1,51,0.647,11.78,33.17,1,9,3.53,2,1,-0.406266686
andtobagotrinidad,1976,269,0.041859565,3.291666667,3.200757576,3.520446097,4.541666667,0.04553433,8,1,46.09,0.647,11.27,55.83,1,14,1.48,2,1,0.491336559
andtobagotrinidad,1981,156,0.078238001,3,2.974358974,3.705128205,3.730769231,0.045259843,8,1,41.72,0.647,10.61,56.43,1,19,10.39,2,1,-0.406266686
andtobagotrinidad,1986,124,0.054890739,3.153225806,2.947580645,3.782258065,4.201612903,0.056919963,8,1,42.6,0.647,9.38,65.45,1,24,-4.12,2,1,-0.406266686
andtobagotrinidad,1991,136,0.035899654,2.941176471,3.069852941,3.823529412,3.977941176,0.051773036,8,1,47.18,0.647,8.75,65.76,1,29,1.51,2,0,-0.406266686
andtobagotrinidad,2000,79,0.200128185,2.683544304,3.221518987,3.772151899,3,0.22346279,9,1,NA,0.647,10.83,63.05,1,38,4.39,2,0,-0.406266686
andtobagotrinidad,2001,110,0.120661157,3.527272727,2.936363636,3.609090909,4.145454545,0.061192592,9,1,NA,0.647,11.09,66.13,1,39,6.13,2,0,-0.406266686
andtobagotrinidad,2002,101,0.087148319,2.762376238,2.861386139,3.673267327,3.910891089,0.071378962,9,1,NA,0.647,11.35,69.64,1,40,4.09,2,0,-0.406266686
argentina,1983,289,0.034350642,2.944444444,2.894097222,3.519031142,4.215277778,0.01747635,NA,1,40.4,0.255,84.14,83.25,10.58,0,-4.96,1,1,NA
argentina,1985,252,0.054106828,3.079365079,3.099206349,3.599206349,4.369047619,0.058348605,-9,1,39.8,0.255,85.04,82.19,5.29,2,2.21,1,1,-0.406266686
argentina,1987,253,0.026261932,3.596837945,3.351778656,3.853754941,4.652173913,0.067479903,-9,1,43.3,0.255,85.82,83.61,5.52,4,7.88,1,1,-0.406266686
argentina,1989,237,0.036692838,3.444915254,3.190677966,3.801687764,4.372881356,0.019872041,-8,1,47.59,0.255,86.59,84.24,5.29,6,-2.56,1,1,-0.406266686
argentina,1991,255,0.022222222,3.326771654,2.99015748,3.580392157,4.039370079,0.014773493,8,1,45.2,0.255,87.32,89.71,5.29,8,-2.4,1,0,-0.406266686
argentina,1993,204,0.031334102,3.251231527,3.007389163,3.475490196,4.492610837,0.098587782,8,1,44.4,0.255,87.99,79.7,5.29,10,11.94,1,0,-0.406266686
